"","gene","model","correlation","pval","r2","lambda","fdr","Measure","Organ"
"4613","DPP4","no.lambda",0.790403651860716,0.111496425692532,0.624737926029542,0,0.336719205591445,"RPKM","Heart"
"861","MAPK10","free.lambda",-0.536223201560806,0.117940541499346,0.997488365213516,0,0.349196505223555,"RPKM","Heart"
"152","AAK1","no.lambda",-0.772423421176282,0.125780783286821,0.596637939875179,0,0.358356571251133,"RPKM","Heart"
"610","ALDH3A1","fix.lambda",-0.774163689101447,0.12437587571602,0.844948871361494,0.999933893038648,0.358356571251133,"RPKM","Heart"
"911","MYL3","no.lambda",0.754714799624918,0.140339078927011,0.569594429718605,0,0.392429646629233,"RPKM","Heart"
"1713","BLOC1S6","free.lambda",0.620348082438668,0.185492080042605,0.999208687096406,0,0.463454500408236,"RPKM","Heart"
"5313","ESRRG","free.lambda",0.548546907707584,0.188301044482028,0.99227904042243,0,0.463454500408236,"RPKM","Heart"
"5713","FBXO40","free.lambda",0.406538104373975,0.18315282705705,0.988645844453461,0,0.463454500408236,"RPKM","Heart"
"761","KCNS3","no.lambda",-0.715442439403598,0.174229973605527,0.511857878055669,0,0.463454500408236,"RPKM","Heart"
"961","PARP9","no.lambda",0.706806896260323,0.181960167368111,0.499575980715845,0,0.463454500408236,"RPKM","Heart"
"1111","RC3H1","free.lambda",0.807275102681946,0.178249136178523,0.961192115121211,0,0.463454500408236,"RPKM","Heart"
"1131","RPS29","free.lambda",-0.678150808110266,0.189550022083119,0.785682481064811,1,0.463454500408236,"RPKM","Heart"
"1491","ZDHHC2","free.lambda",0.793535841609676,0.190292576326561,0.979984574294948,0,0.463454500408236,"RPKM","Heart"
"1511","ZNF366","no.lambda",0.678189868104506,0.208242731789623,0.459941491090753,0,0.499121468257667,"RPKM","Heart"
"781","LANCL2","no.lambda",0.668045607258368,0.217794487022714,0.446284928830962,0,0.513858867819216,"RPKM","Heart"
"3513","CLSTN2","no.lambda",0.658611780460368,0.22678293595701,0.433769479124464,0,0.526834205069361,"RPKM","Heart"
"1221","SLC7A2","fix.lambda",-0.647247422519309,0.23774225845109,0.305953562103737,0.305191580516756,0.543925470092646,"RPKM","Heart"
"3103","ADAM23","free.lambda",0.28721511855415,0.272292639775092,0.989330153607846,0,0.55119250406173,"RPKM","Heart"
"810","ANGPT2","no.lambda",0.61295717859258,0.271639977369945,0.375716502258944,0,0.55119250406173,"RPKM","Heart"
"2213","CCBE1","free.lambda",-0.26237966107858,0.274263985222884,0.988372124557929,0,0.55119250406173,"RPKM","Heart"
"3713","CPVL","free.lambda",-0.0635358339562736,0.282976750391022,0.94413146272228,0,0.55119250406173,"RPKM","Heart"
"4513","DPH6","fix.lambda",0.610001554619023,0.274617659891798,0.601545144705674,0.999933893038648,0.55119250406173,"RPKM","Heart"
"4813","DYRK4","no.lambda",0.593577181351697,0.291318803076386,0.35233386267154,0,0.55119250406173,"RPKM","Heart"
"6211","GALNT15","free.lambda",-0.147865041257526,0.292022518708201,0.717551243385785,0,0.55119250406173,"RPKM","Heart"
"6311","GCC2","fix.lambda",-0.623799164893584,0.260791466029763,0.321333576333038,0.711801314057632,0.55119250406173,"RPKM","Heart"
"671","GRIN2A","free.lambda",-0.207179183101049,0.287764473863833,0.991018036624692,0,0.55119250406173,"RPKM","Heart"
"981","PDE1C","free.lambda",0.158482330113684,0.259450547181581,0.985116969943943,0,0.55119250406173,"RPKM","Heart"
"991","PDGFRL","no.lambda",0.600141717706196,0.284612636413261,0.360170082005933,0,0.55119250406173,"RPKM","Heart"
"1051","PPARGC1B","no.lambda",0.627479520436122,0.257135888708045,0.393730547585469,0,0.55119250406173,"RPKM","Heart"
"1101","RBP4","free.lambda",0.690484947393282,0.259086879673279,0.998357481319714,1,0.55119250406173,"RPKM","Heart"
"1201","SLC5A1","no.lambda",0.623752048613764,0.260838364326906,0.389066609915746,0,0.55119250406173,"RPKM","Heart"
"1231","SLC8A1","free.lambda",0.307050722177925,0.304169601811301,0.988425383000161,0,0.567032220660574,"RPKM","Heart"
"6011","FRMD6","free.lambda",-0.708682866013411,0.308099676895811,0.933114805416222,0,0.567354283064237,"RPKM","Heart"
"6112","GALC","free.lambda",0.35980031356847,0.314116223826855,0.999499541663909,0,0.571464455395845,"RPKM","Heart"
"1613","BGN","no.lambda",0.54856053571217,0.338361665278623,0.300918668090442,0,0.608245374488954,"RPKM","Heart"
"153","BBX","no.lambda",-0.54172514210699,0.345657826378368,0.293466125251767,0,0.614050962154513,"RPKM","Heart"
"4113","DGAT2","free.lambda",-0.559740575190007,0.370282784068678,0.867754130457854,1,0.647353936137377,"RPKM","Heart"
"881","MCOLN3","no.lambda",-0.516436860276855,0.372978757906966,0.266707024799058,0,0.647353936137377,"RPKM","Heart"
"5213","ESR2","free.lambda",0.27771992930504,0.412855939662099,0.793157721452439,1,0.703137133625547,"RPKM","Heart"
"1471","XPO4","no.lambda",-0.478897388583313,0.414431820481283,0.229342706546076,0,0.703137133625547,"RPKM","Heart"
"1251","SLFN5","no.lambda",-0.474318000085372,0.419557642879823,0.224977559473384,0,0.703924489720593,"RPKM","Heart"
"1310","ATP5PF","no.lambda",0.455741782256226,0.440496121311295,0.207700571680547,0,0.730933124373688,"RPKM","Heart"
"951","PARP14","no.lambda",0.450743460634402,0.446168946717827,0.203169672828502,0,0.732299032112956,"RPKM","Heart"
"4013","DCLK3","no.lambda",-0.387471717570531,0.519294444316171,0.150134329767925,0,0.738313170340951,"RPKM","Heart"
"4713","DSC2","no.lambda",-0.424022797240755,0.476762529857175,0.17979533248518,0,0.738313170340951,"RPKM","Heart"
"5912","FGD2","free.lambda",0.42906158082131,0.50027843223517,0.96149927972105,0,0.738313170340951,"RPKM","Heart"
"801","LNX1","no.lambda",-0.406363240375637,0.497217349193474,0.16513108783493,0,0.738313170340951,"RPKM","Heart"
"811","LPAR3","no.lambda",0.384262922488762,0.523063590361958,0.147657996067801,0,0.738313170340951,"RPKM","Heart"
"821","LRRC17","no.lambda",0.391606869713504,0.514445289590694,0.153355942608351,0,0.738313170340951,"RPKM","Heart"
"941","OXCT1","no.lambda",-0.400204794271107,0.504392605918795,0.160163875916302,0,0.738313170340951,"RPKM","Heart"
"1001","PDPN","no.lambda",0.384167669718361,0.52317555779127,0.147584802996575,0,0.738313170340951,"RPKM","Heart"
"1121","RERG","no.lambda",0.407806153429948,0.495539298557663,0.1663058591236,0,0.738313170340951,"RPKM","Heart"
"1151","SIGLEC1","no.lambda",-0.406557716285052,0.496991111737824,0.165289181376886,0,0.738313170340951,"RPKM","Heart"
"1191","SLC35E4","free.lambda",-0.302037015693528,0.508853595536833,0.486062953243253,0,0.738313170340951,"RPKM","Heart"
"1241","SLC9A3","no.lambda",-0.418742616558601,0.482859430406442,0.175345381512799,0,0.738313170340951,"RPKM","Heart"
"1341","TATDN3","no.lambda",0.417724842982,0.484036528783254,0.174494040520443,0,0.738313170340951,"RPKM","Heart"
