organ,measure,gene,model,correlation,pval,r2,lambda,fdr
testis,rpkm,PHLPP1,free.lambda,-0.45223507,0.344417831,0.976799033,0,0.528481709
testis,rpkm,WNT8A,no.lambda,-0.542276165,0.345068222,0.294063443,0,0.528522214
testis,rpkm,MRPL11,no.lambda,-0.538159908,0.349478638,0.289616085,0,0.534311203
testis,rpkm,CA8,free.lambda,-0.199676376,0.350673106,0.579007869,0,0.534572616
testis,rpkm,SLC9A3,no.lambda,-0.536825013,0.350911894,0.288181091,0,0.534572616
testis,rpkm,LIMK2,no.lambda,-0.535637677,0.352187932,0.286907715,0,0.535553283
testis,rpkm,EVPL,no.lambda,0.533748202,0.35422091,0.284887133,0,0.53767941
testis,rpkm,AAK1,no.lambda,-0.530837017,0.35735879,0.281787938,0,0.53838537
testis,rpkm,MAEL,free.lambda,0.703800336,0.356437855,0.728338345,0,0.53838537
testis,rpkm,MTIF2,no.lambda,0.531317973,0.35683992,0.28229878,0,0.53838537
testis,rpkm,NES,fix.lambda,0.56077603,0.358499821,0.406744728,0.500397589,0.53838537
testis,rpkm,PEX16,no.lambda,0.529960109,0.358305317,0.280857712,0,0.53838537
testis,rpkm,ZFAT,no.lambda,0.530846157,0.357348928,0.281797641,0,0.53838537
testis,rpkm,SEC61A2,no.lambda,-0.526704706,0.361824485,0.277417853,0,0.542416529
testis,rpkm,KLHL3,no.lambda,0.525326686,0.363316699,0.275968119,0,0.543691244
testis,rpkm,GATAD2A,no.lambda,-0.522354962,0.366539721,0.272854706,0,0.54754699
testis,rpkm,SH3D19,fix.lambda,0.554334424,0.368782426,0.378324412,0.6647461,0.549670807
testis,rpkm,SOBP,no.lambda,-0.519852295,0.369259373,0.270246406,0,0.549670807
testis,rpkm,IFT52,fix.lambda,0.801377689,0.371195447,0.44137084,0.918832542,0.551583409
testis,rpkm,SLC46A3,no.lambda,0.515595409,0.373896467,0.265838623,0,0.554163203
testis,rpkm,VPS4B,no.lambda,-0.515280464,0.374240085,0.265513963,0,0.554163203
testis,rpkm,BRWD1,free.lambda,0.684007578,0.376158063,0.980551692,0,0.556031203
testis,rpkm,SLC6A16,free.lambda,-0.574482113,0.377235425,0.979973173,0,0.556652273
testis,rpkm,BST1,free.lambda,0.264252203,0.380321684,0.99870148,1,0.559333716
testis,rpkm,SH2D3C,free.lambda,-0.003142587,0.380373342,0.761860786,0,0.559333716
testis,rpkm,FAM53A,fix.lambda,0.508287385,0.385418244,0.374414267,0.291926455,0.565769936
testis,rpkm,SPATA25,free.lambda,-0.796048713,0.38731694,0.986358789,0,0.567573439
testis,rpkm,SLC7A11,no.lambda,-0.502185024,0.388594644,0.252189798,0,0.568462285
testis,rpkm,GSK3B,no.lambda,-0.497105001,0.394197492,0.247113375,0,0.575664269
testis,rpkm,B4GALNT3,no.lambda,0.494304216,0.39729458,0.244336661,0,0.57720156
testis,rpkm,BABAM2,no.lambda,0.494601805,0.396965233,0.244630951,0,0.57720156
testis,rpkm,ZNF217,no.lambda,0.49473484,0.396818033,0.24476256,0,0.57720156
testis,rpkm,PTH1R,no.lambda,0.490173049,0.40187317,0.240269617,0,0.582853724
testis,rpkm,MRPS9,no.lambda,0.489003986,0.403171081,0.239124887,0,0.583736591
testis,rpkm,TMEM60,free.lambda,-0.209723017,0.405548051,0.949807937,0,0.586176107
testis,rpkm,EGR2,no.lambda,0.484117683,0.408606396,0.23436993,0,0.58959049
testis,rpkm,ITM2B,free.lambda,0.068576381,0.409712523,0.999777723,1,0.590181134
testis,rpkm,ANO6,no.lambda,-0.481628123,0.411382163,0.231965649,0,0.591580122
testis,rpkm,B3GALNT2,no.lambda,-0.480478875,0.412665,0.230859947,0,0.592419077
testis,rpkm,PLPP3,no.lambda,-0.478162974,0.415252884,0.228639835,0,0.595125537
testis,rpkm,DHRS7B,no.lambda,-0.474399723,0.419466038,0.225055095,0,0.6001482
testis,rpkm,PATZ1,no.lambda,0.472591987,0.42149335,0.223343183,0,0.602031816
testis,rpkm,HELLS,no.lambda,0.47039717,0.423957751,0.221273499,0,0.603685045
testis,rpkm,PSMA3,fix.lambda,0.723863995,0.424076271,0.304616758,0.829104508,0.603685045
testis,rpkm,AP3S1,no.lambda,0.468794718,0.425759093,0.219768494,0,0.605063677
testis,rpkm,FER1L6,fix.lambda,-0.27512731,0.42670429,0.198421551,0.999933893,0.605391178
testis,rpkm,ANKDD1A,free.lambda,-0.141308559,0.428116765,0.734627701,0,0.606379432
testis,rpkm,SNX30,free.lambda,-0.929352878,0.429207184,0.999394328,0,0.60690899
testis,rpkm,AANAT,no.lambda,0.46407759,0.431071757,0.215368011,0,0.607205505
testis,rpkm,NEURL1B,no.lambda,0.464479283,0.43061877,0.215741006,0,0.607205505
testis,rpkm,SEMA4C,no.lambda,-0.463638052,0.431567549,0.214960241,0,0.607205505
testis,rpkm,LSG1,no.lambda,0.459615356,0.436111009,0.211246274,0,0.612580472
testis,rpkm,CCNY,no.lambda,-0.455226549,0.441080138,0.207231208,0,0.615952707
testis,rpkm,CRNKL1,no.lambda,0.45671355,0.439395105,0.208587262,0,0.615952707
testis,rpkm,KIAA1191,fix.lambda,0.324655241,0.440569946,0.426078339,0.924320521,0.615952707
testis,rpkm,PLAGL1,no.lambda,0.454926198,0.441420653,0.206957851,0,0.615952707
testis,rpkm,UBA7,free.lambda,0.383052044,0.44247211,0.940968814,0,0.616404403
testis,rpkm,TMCC2,no.lambda,-0.446317031,0.451206131,0.199198897,0,0.627539561
testis,rpkm,DAZAP2,no.lambda,0.444983397,0.452726239,0.198010217,0,0.628621516
testis,rpkm,AIG1,no.lambda,0.443084219,0.454892876,0.196323628,0,0.63059618
testis,rpkm,ATF6B,free.lambda,-0.69796623,0.457811006,0.854853273,1,0.633604447
testis,rpkm,DKK4,no.lambda,-0.438852956,0.4597282,0.192591915,0,0.635219878
testis,rpkm,PSMF1,no.lambda,-0.436946946,0.461909947,0.190922639,0,0.637194992
testis,rpkm,ALDH5A1,free.lambda,-0.676606375,0.46475488,0.989695997,0,0.639037961
testis,rpkm,BDP1,free.lambda,0.419291397,0.464437168,0.994737778,0,0.639037961
testis,rpkm,MYL3,no.lambda,0.431852543,0.467752372,0.186496618,0,0.641078089
testis,rpkm,PARP9,no.lambda,0.432148647,0.467412356,0.186752453,0,0.641078089
testis,rpkm,TAF5,no.lambda,-0.430967421,0.46876908,0.185732915,0,0.64143362
testis,rpkm,ZNF567,fix.lambda,0.432068281,0.471675764,0.57062237,0.965397095,0.644369955
testis,rpkm,PFKM,fix.lambda,-0.600964701,0.474154684,0.561355143,0.923417256,0.646713394
testis,rpkm,ZSCAN18,no.lambda,-0.424764234,0.475907733,0.180424655,0,0.648060852
testis,rpkm,ORMDL1,no.lambda,-0.422346177,0.478696686,0.178376301,0,0.650812348
testis,rpkm,GUCY2D,free.lambda,-0.525486762,0.480507592,0.990548854,0,0.652227453
testis,rpkm,IGFBP4,no.lambda,-0.416549973,0.485396041,0.173513889,0,0.65697859
testis,rpkm,WFDC5,free.lambda,-0.727615426,0.485559147,0.996287936,0,0.65697859
testis,rpkm,DMGDH,no.lambda,-0.415571632,0.486528785,0.172699778,0,0.657240639
testis,rpkm,NF2,no.lambda,-0.41106447,0.491754358,0.168973997,0,0.663241944
testis,rpkm,EXTL2,free.lambda,-0.415973626,0.494712629,0.979765363,0,0.666006391
testis,rpkm,PKP2,no.lambda,-0.407915646,0.495412012,0.166395174,0,0.666006391
testis,rpkm,VARS2,fix.lambda,-0.465165119,0.496162967,0.381200479,0.787119487,0.666006391
testis,rpkm,PATE1,no.lambda,-0.405817711,0.497852088,0.16468802,0,0.666162272
testis,rpkm,SH3TC2,no.lambda,-0.406311376,0.497277696,0.165088933,0,0.666162272
testis,rpkm,CNIH1,no.lambda,0.404755973,0.49908794,0.163827397,0,0.666762594
testis,rpkm,SLC35C2,no.lambda,-0.398953436,0.505853167,0.15916384,0,0.674736429
testis,rpkm,TMED3,no.lambda,0.396642279,0.508552962,0.157325101,0,0.677271004
testis,rpkm,CCBE1,no.lambda,-0.395567959,0.509808954,0.156474007,0,0.67787784
testis,rpkm,DYM,no.lambda,-0.39144742,0.514632112,0.153231077,0,0.68060488
testis,rpkm,PARP16,fix.lambda,-0.472331768,0.513065632,0.694762239,0.999933893,0.68060488
testis,rpkm,SDK1,no.lambda,-0.390384634,0.515877607,0.152400162,0,0.68060488
testis,rpkm,SPRYD7,free.lambda,-0.502130549,0.515122881,0.673306412,0,0.68060488
testis,rpkm,ZNF18,fix.lambda,-0.399188973,0.515584875,0.460630101,0.865144792,0.68060488
testis,rpkm,STARD13,no.lambda,-0.389131342,0.517347155,0.151423199,0,0.681482178
